
start_station_name,end_station_name,subscriber_count,customer_count,total_count
Harry Bridges Plaza (Ferry Building),Embarcadero at Sansome,5483,3667,9150
San Francisco Caltrain 2 (330 Townsend),Townsend at 7th,8305,203,8508
2nd at Townsend,Harry Bridges Plaza (Ferry Building),6931,689,7620
Harry Bridges Plaza (Ferry Building),2nd at Townsend,6332,556,6888
Embarcadero at Sansome,Steuart at Market,6200,674,6874
Townsend at 7th,San Francisco Caltrain 2 (330 Townsend),6641,195,6836
Embarcadero at Folsom,San Francisco Caltrain (Townsend at 4th),6158,193,6351
San Francisco Caltrain (Townsend at 4th),Harry Bridges Plaza (Ferry Building),5709,506,6215
Steuart at Market,2nd at Townsend,5758,281,6039
Steuart at Market,San Francisco Caltrain (Townsend at 4th),5695,264,5959
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain (Townsend at 4th),5699,97,5796
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain (Townsend at 4th),4980,415,5395
Townsend at 7th,San Francisco Caltrain (Townsend at 4th),5174,184,5358
2nd at South Park,Market at Sansome,5205,132,5337
San Francisco Caltrain (Townsend at 4th),Temporary Transbay Terminal (Howard at Beale),5089,107,5196
Market at 10th,San Francisco Caltrain 2 (330 Townsend),5008,110,5118
Steuart at Market,Embarcadero at Sansome,4263,847,5110
Market at Sansome,2nd at South Park,4919,144,5063
Embarcadero at Sansome,Harry Bridges Plaza (Ferry Building),3099,1638,4737
San Francisco Caltrain 2 (330 Townsend),Powell Street BART,4352,140,4492
San Francisco Caltrain (Townsend at 4th),Embarcadero at Folsom,4367,73,4440
San Francisco Caltrain 2 (330 Townsend),5th at Howard,4298,135,4433
Powell Street BART,San Francisco Caltrain 2 (330 Townsend),4281,136,4417
San Francisco Caltrain (Townsend at 4th),Steuart at Market,4182,185,4367
Howard at 2nd,San Francisco Caltrain (Townsend at 4th),4172,132,4304
2nd at Townsend,Steuart at Market,4079,194,4273
Mountain View Caltrain Station,Mountain View City Hall,3765,87,3852
Market at 4th,San Francisco Caltrain (Townsend at 4th),3591,227,3818
San Francisco Caltrain (Townsend at 4th),Market at Sansome,3671,130,3801
Townsend at 7th,Civic Center BART (7th at Market),3622,149,3771
San Francisco Caltrain 2 (330 Townsend),Market at 10th,3622,133,3755
Market at Sansome,San Francisco Caltrain (Townsend at 4th),3600,149,3749
Civic Center BART (7th at Market),Townsend at 7th,3613,85,3698
Market at 10th,San Francisco Caltrain (Townsend at 4th),3479,131,3610
2nd at Folsom,Market at Sansome,3534,63,3597
Mountain View City Hall,Mountain View Caltrain Station,3393,127,3520
San Francisco Caltrain (Townsend at 4th),Howard at 2nd,3363,105,3468
Beale at Market,San Francisco Caltrain (Townsend at 4th),3343,108,3451
2nd at Folsom,San Francisco Caltrain (Townsend at 4th),3188,104,3292
5th at Howard,San Francisco Caltrain 2 (330 Townsend),3100,122,3222
Santa Clara at Almaden,San Jose Diridon Caltrain Station,3146,69,3215
Temporary Transbay Terminal (Howard at Beale),2nd at Townsend,3143,64,3207
San Francisco Caltrain (Townsend at 4th),Townsend at 7th,3029,167,3196
San Jose Diridon Caltrain Station,Santa Clara at Almaden,3140,31,3171
Steuart at Market,San Francisco Caltrain 2 (330 Townsend),3067,95,3162
Grant Avenue at Columbus Avenue,Market at Sansome,3032,121,3153
Market at 10th,Market at 4th,2809,337,3146
Embarcadero at Bryant,San Francisco Caltrain (Townsend at 4th),2796,247,3043
