
start_station_name,end_station_name,latitude,longitude,total_trips
Harry Bridges Plaza (Ferry Building),Embarcadero at Sansome,37.795392,-122.394203,9150
San Francisco Caltrain 2 (330 Townsend),Townsend at 7th,37.7766,-122.39547,8508
2nd at Townsend,Harry Bridges Plaza (Ferry Building),37.780526,-122.390288,7620
Harry Bridges Plaza (Ferry Building),2nd at Townsend,37.795392,-122.394203,6888
Embarcadero at Sansome,Steuart at Market,37.80477,-122.403234,6874
Townsend at 7th,San Francisco Caltrain 2 (330 Townsend),37.771058,-122.402717,6836
Embarcadero at Folsom,San Francisco Caltrain (Townsend at 4th),37.791464,-122.391034,6351
San Francisco Caltrain (Townsend at 4th),Harry Bridges Plaza (Ferry Building),37.776617,-122.39526,6215
Steuart at Market,2nd at Townsend,37.794139,-122.394434,6039
Steuart at Market,San Francisco Caltrain (Townsend at 4th),37.794139,-122.394434,5959
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain (Townsend at 4th),37.789756,-122.394643,5796
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain (Townsend at 4th),37.795392,-122.394203,5395
Townsend at 7th,San Francisco Caltrain (Townsend at 4th),37.771058,-122.402717,5358
2nd at South Park,Market at Sansome,37.782259,-122.392738,5337
San Francisco Caltrain (Townsend at 4th),Temporary Transbay Terminal (Howard at Beale),37.776617,-122.39526,5196
Market at 10th,San Francisco Caltrain 2 (330 Townsend),37.776619,-122.417385,5118
Steuart at Market,Embarcadero at Sansome,37.794139,-122.394434,5110
Market at Sansome,2nd at South Park,37.789625,-122.400811,5063
Embarcadero at Sansome,Harry Bridges Plaza (Ferry Building),37.80477,-122.403234,4737
San Francisco Caltrain 2 (330 Townsend),Powell Street BART,37.7766,-122.39547,4492
San Francisco Caltrain (Townsend at 4th),Embarcadero at Folsom,37.776617,-122.39526,4440
San Francisco Caltrain 2 (330 Townsend),5th at Howard,37.7766,-122.39547,4433
Powell Street BART,San Francisco Caltrain 2 (330 Townsend),37.783871,-122.408433,4417
San Francisco Caltrain (Townsend at 4th),Steuart at Market,37.776617,-122.39526,4367
Howard at 2nd,San Francisco Caltrain (Townsend at 4th),37.786978,-122.398108,4304
2nd at Townsend,Steuart at Market,37.780526,-122.390288,4273
Mountain View Caltrain Station,Mountain View City Hall,37.394358,-122.076713,3852
Market at 4th,San Francisco Caltrain (Townsend at 4th),37.786305,-122.404966,3818
San Francisco Caltrain (Townsend at 4th),Market at Sansome,37.776617,-122.39526,3801
Townsend at 7th,Civic Center BART (7th at Market),37.771058,-122.402717,3771
San Francisco Caltrain 2 (330 Townsend),Market at 10th,37.7766,-122.39547,3755
Market at Sansome,San Francisco Caltrain (Townsend at 4th),37.789625,-122.400811,3749
Civic Center BART (7th at Market),Townsend at 7th,37.781039,-122.411748,3698
Market at 10th,San Francisco Caltrain (Townsend at 4th),37.776619,-122.417385,3610
2nd at Folsom,Market at Sansome,37.785299,-122.396236,3597
Mountain View City Hall,Mountain View Caltrain Station,37.389218,-122.081896,3520
San Francisco Caltrain (Townsend at 4th),Howard at 2nd,37.776617,-122.39526,3468
Beale at Market,San Francisco Caltrain (Townsend at 4th),37.792251,-122.397086,3451
2nd at Folsom,San Francisco Caltrain (Townsend at 4th),37.785299,-122.396236,3292
5th at Howard,San Francisco Caltrain 2 (330 Townsend),37.781752,-122.405127,3222
Santa Clara at Almaden,San Jose Diridon Caltrain Station,37.333988,-121.894902,3215
Temporary Transbay Terminal (Howard at Beale),2nd at Townsend,37.789756,-122.394643,3207
San Francisco Caltrain (Townsend at 4th),Townsend at 7th,37.776617,-122.39526,3196
San Jose Diridon Caltrain Station,Santa Clara at Almaden,37.329732,-121.901782,3171
Steuart at Market,San Francisco Caltrain 2 (330 Townsend),37.794139,-122.394434,3162
Grant Avenue at Columbus Avenue,Market at Sansome,37.7979,-122.405942,3153
Market at 10th,Market at 4th,37.776619,-122.417385,3146
Embarcadero at Bryant,San Francisco Caltrain (Townsend at 4th),37.787152,-122.388013,3043
San Francisco Caltrain 2 (330 Townsend),Harry Bridges Plaza (Ferry Building),37.7766,-122.39547,3027
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain 2 (330 Townsend),37.789756,-122.394643,2963
Powell Street BART,Market at 10th,37.783871,-122.408433,2870
Embarcadero at Sansome,Embarcadero at Sansome,37.80477,-122.403234,2866
2nd at Townsend,Market at Sansome,37.780526,-122.390288,2830
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Folsom,37.7766,-122.39547,2828
San Francisco Caltrain (Townsend at 4th),Davis at Jackson,37.776617,-122.39526,2687
Davis at Jackson,San Francisco Caltrain (Townsend at 4th),37.79728,-122.398436,2642
Clay at Battery,San Francisco Caltrain (Townsend at 4th),37.795001,-122.39997,2631
San Francisco Caltrain 2 (330 Townsend),Temporary Transbay Terminal (Howard at Beale),37.7766,-122.39547,2594
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain (Townsend at 4th),37.784878,-122.401014,2592
Market at 4th,Market at 10th,37.786305,-122.404966,2584
San Francisco Caltrain 2 (330 Townsend),Howard at 2nd,37.7766,-122.39547,2552
San Francisco Caltrain (Townsend at 4th),Yerba Buena Center of the Arts (3rd @ Howard),37.776617,-122.39526,2537
Castro Street and El Camino Real,Mountain View Caltrain Station,37.385956,-122.083678,2531
Embarcadero at Folsom,San Francisco Caltrain 2 (330 Townsend),37.791464,-122.391034,2520
San Francisco Caltrain 2 (330 Townsend),Steuart at Market,37.7766,-122.39547,2512
San Francisco Caltrain (Townsend at 4th),2nd at Townsend,37.776617,-122.39526,2492
Market at Sansome,2nd at Townsend,37.789625,-122.400811,2482
San Francisco Caltrain (Townsend at 4th),Market at 10th,37.776617,-122.39526,2469
5th at Howard,San Francisco Caltrain (Townsend at 4th),37.781752,-122.405127,2468
2nd at South Park,San Francisco Caltrain (Townsend at 4th),37.782259,-122.392738,2425
Broadway St at Battery St,San Francisco Caltrain (Townsend at 4th),37.798541,-122.400862,2393
